MN822013.1	2013-01-16
MN145872.1	2017-03-30
MN630023.1	2013-12-10
MN630022.1	2012-11-15
MN630021.1	2007-05-11
MN630020.1	2010-10-04
MK513627.1	2010-05
MK513626.1	2010-05
MK513625.1	2010-04
MK513624.1	2010-04
MK513623.1	2010-03
MK513622.1	2010-06
MK513621.1	2010-05
MK513620.1	2010-05
MK513619.1	2010-05
MK513618.1	2010-05
MK513617.1	2010-05
MK513616.1	2010-04
MK513615.1	2010-04
MK513614.1	2010-04
MK513613.1	2010-04
MK513612.1	2010-04
MK513611.1	2010-04
MK513610.1	2010-04
MK513609.1	2010-04
MK513608.1	2010-04
MK513607.1	2010-04
MK513606.1	2010-04
MK513605.1	2010-04
MK513604.1	2010-04
MK513603.1	2010-04
MK513602.1	2010-04
MK513601.1	2010-03
MK513600.1	2010-03
MK513599.1	2010-03
MK513598.1	2010-03
MH631016.1	2016-10-31
MH631015.1	2017-02-03
MK161348.1	2018-08-04
MF496202.1	2018-09
MF496201.1	2018-10
MF496200.1	2018-09
MK142916.1	2014-07-14
MK142915.1	2014-06-07
MK142914.1	2014-05-03
MF775733.1	2014-05-10
MH638233.1	2015
MH173047.1	2014-11
MG972194.1	2014-04
MG912594.1	1997
MG912593.1	2011
MG912592.1	2013
MG912591.1	2013
MG912590.1	1997
MG912589.1	1991
MF449469.1	2011-05-03
KY969481.1	2014
KY969480.1	2010
KY969479.1	2013
KY969478.1	2014
KY969477.1	2014
KY969476.1	2010
KY656518.1	2012
KT588921.1	2013-07-14
KX838946.2	2013-01
KU728743.1	2014-08-29
KU728742.1	2014-06-25
KJ755982.1	2011-03-10
KJ755981.1	2010-04-21
KJ755980.1	2009-03-18
KJ755979.1	2008-03-20
KJ755978.1	2007-04-06
KJ755977.1	2006-03-23
KJ755976.1	2005-03-11
KT732261.1	2005-07
KT732260.1	2005-05
KT732259.1	2005-05
KT732258.1	2005-05
KT732257.1	2005-04
KT732256.1	2005-04
KT732255.1	2005-04
KT732254.1	2005-04
KT732253.1	2005-04
KT732252.1	2005-04
KT732251.1	2005-04
KT732250.1	2005-04
KT732249.1	2005-04
KT732248.1	2005-03
KT732247.1	2005-03
KT732246.1	2005-02
KT732245.1	2005-02
KT732244.1	2005-02
KT732243.1	2005-02
KT732242.1	2005-12
KT732241.1	2005-11
KT732240.1	2005-11
KT732239.1	2005-11
KT732238.1	2005-11
KT732237.1	2005-11
KT732236.1	2005-10
KT732235.1	2005-10
KT732234.1	2005-08
KT732233.1	2005-08
KT732232.1	2005-07
KT732231.1	2005-05
KT732230.1	2005-02
KT732229.1	2005-05
KT732228.1	2005-03
KT732227.1	2005-12
KT732226.1	2005-05
KT732225.1	2005-05
KT732224.1	2005-02
KT732223.1	2005-01
KT732222.1	2005-01
KT732221.1	2005-01
KT732220.1	2005-01
KT732219.1	2005-01
KT732218.1	2005-01
KT732217.1	2005-10
KT732216.1	2005-08
KT732215.1	2005-07
KT732214.1	2005-02
KJ018971.2	2010-03-31
KJ018970.2	2010-03-31
KJ410048.1	2013-05-10
KC164758.1	2013-02
KC164757.1	2013-01
KC117298.1	2010-03-26
JN635411.1	2009
JN635410.1	2003
JN635409.1	2004
JN635408.1	2005
JN635407.1	2007
JN635406.1	2008
JN635405.1	2008
JN635404.1	2009
JN635403.1	2009
JN635402.1	2009
FJ161211.1	2006-05-08
HM562901.1	2003
HM562900.1	2007
HM562899.1	1977
JF727650.1	2010
JF727649.1	2010
HM439386.1	1997
GQ376027.1	1999
GQ376026.1	1999
AB481088.1	1989
AB481087.1	1989
